date,gold_close,gold_open,gold_high,gold_low,silver_close,silver_open,silver_high,silver_low,gpr_level,gpr_war,gpr_terrorism,gpr_economic,gpr_political,gpr_nuclear,gpr_trade,gpr_sanctions,gpr_pandemic,event_count,composite_risk,risk_regime_encoded,gpr_ma7,gpr_ma30,gpr_ma90,gpr_momentum,gpr_volatility,gpr_spike,pandemic_severity,pandemic_phase_encoded,is_pandemic,is_lockdown,is_post_pandemic,gold_return,gold_lag1,gold_lag7,gold_lag14,gold_lag30,gold_ma7,gold_ma14,gold_ma30,gold_ma60,gold_ema7,gold_ema14,gold_ema30,gold_rsi,gold_macd,gold_bb_pct,gold_volatility,gs_ratio,gs_ratio_ma7,gs_ratio_ma30,day_of_week,month,quarter,year,target
2010-02-01,1107.35,1080.1,1107.9,1076.8,16.7,16.17,16.7,16.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,66.30838323353294,,,0,2,1,2010,1072.85
2010-02-02,1115.2,1105.8,1118.35,1099.0,16.7,16.64,16.81,16.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,0,0,0,0,0,0,0.007088996252314184,1107.35,,,,,,,,1107.35,1107.35,1107.35,,0.0,,,66.77844311377245,,,1,2,1,2010,1095.35
2010-02-03,1109.65,1114.4,1124.85,1107.2,16.38,16.67,16.95,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,0,0,0,0,0,0,-0.004976685796269642,1115.2,,,,,,,,1111.8357142857144,1111.555357142857,1111.4058333333335,,0.17612179487196045,,,67.74420024420026,,,2,2,1,2010,1093.4
2010-02-04,1063.45,1109.3,1111.1,1059.5,15.29,16.35,16.41,15.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,0,0,0,0,0,0,-0.041634749695850126,1109.65,,,,,,,,1110.8905405405408,1110.8275042444823,1110.781118104406,,0.05230895661861723,,,69.55199476782211,,,3,2,1,2010,1101.0
2010-02-05,1065.45,1063.15,1069.15,1044.25,15.16,15.24,15.38,14.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,0,0,0,0,0,0,0.0018806713996897262,1063.45,,,,,,,,1093.5408571428572,1096.3333892313271,1097.73967027377,,-1.6733189124606724,,,70.28034300791558,,,4,2,1,2010,1119.95
2010-02-08,1063.75,1067.4,1073.9,1061.9,15.03,15.11,15.31,14.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,0,0,0,0,0,0,-0.001595569946970854,1065.45,,,,,,,,1084.3330985915495,1088.2759602352082,1090.3929885210673,,-2.4961871071798214,,,70.77511643379907,,,0,2,1,2010,1115.2
2010-02-09,1077.3,1062.95,1083.45,1061.8,15.45,14.98,15.59,14.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,0,0,0,0,0,0,0.012737955346650898,1063.75,,,,,,,,1078.073195723196,1082.6010902956452,1085.18070750938,,-3.0166154627245305,,,69.72815533980582,,,1,2,1,2010,1123.9
2010-02-10,1072.85,1077.45,1082.5,1063.5,15.24,15.42,15.64,15.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,0,0,0,0,0,0,-0.004130697113153281,1077.3,1107.35,,,1086.0214285714285,,,,1077.850119743608,1081.484038174038,1083.8176878048143,,-2.684573252304517,,,70.39698162729658,68.73809087726404,,2,2,1,2010,1118.85
2010-02-11,1095.35,1072.0,1098.15,1071.35,15.67,15.19,15.73,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,0,0,0,0,0,0,0.020972176911963514,1072.85,1115.2,,,1081.0928571428572,,,,1076.4610233149642,1079.7953474448552,1082.106334553882,,-2.6304055344312474,,,69.90108487555838,69.3221763620874,,3,2,1,2010,1113.7
2010-02-12,1093.4,1096.7,1097.35,1078.55,15.54,15.64,15.74,15.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,0,0,0,0,0,0,-0.0017802528872048473,1095.35,1109.65,,,1078.2571428571428,,,,1081.5666195800563,1082.6593205533695,1083.9995549361272,,-1.4365657651235324,,,70.36036036036037,69.76826804234254,,4,2,1,2010,1102.05
